pair,net_frac,exit_type,mfe_frac,tp_mult
BTCUSDT,0.0046500000000000005,TP,0.0062583342714757325,1.6
BTCUSDT,0.0009,BE_RAISED,0.0030842841486246617,1.6
BTCUSDT,0.0009,BE_RAISED,0.0037530222081632735,1.6
BTCUSDT,0.0009,BE_RAISED,0.003692840848574495,1.6
BTCUSDT,0.0009,BE_RAISED,0.003927190429797789,1.6
XRPUSDT,0.0009,BE_RAISED,0.0037197144867799703,1.6
SOLUSDT,0.0009,BE_RAISED,0.003020661323452529,1.6
ETHUSDT,0.0046500000000000005,TP,0.00832278970942302,1.6
ETHUSDT,0.0046500000000000005,TP,0.0074085136569469355,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004689717425057466,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004688120778704808,1.6
BTCUSDT,0.0046500000000000005,TP,0.0069756528240656045,1.6
BTCUSDT,0.0046500000000000005,TP,0.0060164234242380005,1.6
BTCUSDT,0.0046500000000000005,TP,0.006536973617453115,1.6
ETHUSDT,0.0046500000000000005,TP,0.0068839183432139895,1.6
BTCUSDT,0.0009,BE_RAISED,0.0030156510871177343,1.6
ETHUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005195296889131881,1.6
BTCUSDT,0.0009,BE_RAISED,0.004462053617197032,1.6
BTCUSDT,0.0009,BE_RAISED,0.0030918038831921706,1.6
NEARUSDT,0.0009,BE_RAISED,0.0033467202141901306,1.6
NEARUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005120390124961879,1.6
ETHUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005097808624799204,1.6
SOLUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005445773577423913,1.6
SOLUSDT,0.0046500000000000005,TP,0.006231560006879903,1.6
SOLUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005410398522037432,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005433195890130788,1.6
NEARUSDT,-0.0256,MAE_KILL,0.0023077857403133884,1.6
SOLUSDT,0.0046500000000000005,TP,0.0061341600158301346,1.6
ETHUSDT,0.0046500000000000005,TP,0.006004572914918634,1.6
ETHUSDT,0.0046500000000000005,TP,0.006480728360402034,1.6
NEARUSDT,0.0009,BE_RAISED,0.004174083849978465,1.6
BTCUSDT,-0.027703875914720035,MAX_AGE,0.002767033005500675,1.6
BTCUSDT,-0.027617050923664597,MAX_AGE,0.002859056622685737,1.6
BTCUSDT,-0.03052304000739778,MAX_AGE,0.0006074530180529702,1.6
ETHUSDT,0.0009,BE_RAISED,0.003880976416007116,1.6
ETHUSDT,0.0009,BE_RAISED,0.003980750117696239,1.6
ETHUSDT,-0.012366761810450298,MAX_AGE,0.001779312316971727,1.6
BTCUSDT,-0.02112914786824297,MAX_AGE,0.00022367744760234506,1.6
ETHUSDT,0.0009,BE_RAISED,0.004056371011583653,1.6
BTCUSDT,0.0046500000000000005,TP,0.006165962648346717,1.6
BTCUSDT,0.0009,BE_RAISED,0.0032630990117471564,1.6
NEARUSDT,0.0046500000000000005,TP,0.006617968408566002,1.6
NEARUSDT,0.0046500000000000005,TP,0.008259330559522987,1.6
ETHUSDT,0.0046500000000000005,TP,0.008224811514736134,1.6
SOLUSDT,0.0046500000000000005,TP,0.0074083684722672455,1.6
BTCUSDT,0.0009,BE_RAISED,0.0034967320261437454,1.6
BTCUSDT,0.0046500000000000005,TP,0.006649043694604238,1.6
ETHUSDT,0.0046500000000000005,TP,0.006252891247511563,1.6
ETHUSDT,0.0046500000000000005,TP,0.0067604813462718545,1.6
ETHUSDT,0.0046500000000000005,TP,0.006199666651089525,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004633183209565975,1.6
BTCUSDT,0.0009,BE_RAISED,0.004291091632140199,1.6
BTCUSDT,0.0009,BE_RAISED,0.00408223626443032,1.6
SOLUSDT,-0.040600000000000004,MAE_KILL,0.0012388665023540168,1.6
NEARUSDT,0.0046500000000000005,TP,0.006116582053948259,1.6
BTCUSDT,-0.040600000000000004,MAE_KILL,0.001737329503098832,1.6
BTCUSDT,-0.040600000000000004,MAE_KILL,0.0015333427964866156,1.6
BTCUSDT,-0.040600000000000004,MAE_KILL,0.0014835013126880475,1.6
ETHUSDT,0.0011532493364931683,BE_RAISED,0.0035505430242271712,1.6
BTCUSDT,0.0046500000000000005,TP,0.006821605012652039,1.6
BTCUSDT,-0.040600000000000004,MAE_KILL,0.00043043100594984766,1.6
BTCUSDT,-0.040600000000000004,MAE_KILL,0.0013247116554577882,1.6
BTCUSDT,-0.040600000000000004,MAE_KILL,0.0007714620749243968,1.6
BTCUSDT,-0.040600000000000004,MAE_KILL,0.0001958552706658827,1.6
XRPUSDT,0.0046500000000000005,TP,0.006157746989042757,1.6
NEARUSDT,0.0046500000000000005,TP,0.006667816290165002,1.6
NEARUSDT,0.0046500000000000005,TP,0.007710455147016559,1.6
BTCUSDT,0.0009,BE_RAISED,0.0033148106603160363,1.6
XRPUSDT,0.0046500000000000005,TP,0.006147170493581555,1.6
ETHUSDT,0.0046500000000000005,TP,0.007464141978263632,1.6
ETHUSDT,0.0046500000000000005,TP,0.006304455620882729,1.6
ETHUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004534405798382561,1.6
XRPUSDT,0.0009,BE_RAISED,0.003787878787878771,1.6
ETHUSDT,0.0009,BE_RAISED,0.004019683195957306,1.6
ETHUSDT,0.0009,BE_RAISED,0.003252312363199839,1.6
BTCUSDT,0.0009,BE_RAISED,0.0038800507557250835,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004933676328988444,1.6
